GEOID,STATE,COUNTY_FIPS,TRACT,TOT_POP_MIN,TOT_POP_SEN,TOT_POP_POV,TOT_POP_CIV_NI,TOT_HH,TOT_FAM,TOT_POP_OVER5,POP_MINORITY,POP_OVER75,POP_SPFAM,POP_LEP,POP_BELOW200,POP_DISABILITY,POP_HUS_RENT50,POP_ZVHHS,PCT_OVER75,PCT_MINORITY,PCT_SPFAM,PCT_LEP,PCT_BELOW200,PCT_DISAB,PCT_ZVHHS,PCT_HUS_RENT50,OVER75_HALFSD,MINORITY_HALFSD,SPFAM_HALFSD,DISAB_HALFSD,LEP_HALFSD,BELOW200_HALFSD,ZVHH_HALFSD,HUS_RENT50_HALFSD,Count_DisadFact_HALFSD,COC_FLAG_2018,COC_CLASS
6001407200,6,1,407200,6616,6616,6556,6556,1801,1259,6191,6177,369,433,1948,4157,939,433,386,0.055773881,0.933645707,0.343923749,0.314650299,0.634075656,0.143227578,0.214325375,0.240421988,0,1,1,1,1,1,1,1,5,1,Highest
6001407300,6,1,407300,2501,2501,2472,2501,744,449,2385,2067,50,54,643,1398,213,234,93,0.019992003,0.826469412,0.120267261,0.269601677,0.565533981,0.085165934,0.125,0.314516129,0,1,0,0,1,1,1,1,3,1,High
6001407400,6,1,407400,4452,4452,4452,4452,1147,897,4076,4276,82,365,1116,2484,570,186,191,0.018418688,0.960467206,0.406911929,0.273797841,0.557951482,0.128032345,0.16652136,0.162162162,0,1,1,1,1,1,1,1,5,1,Highest
6001407500,6,1,407500,4201,4201,4139,4139,1279,854,3778,3944,165,308,782,2953,583,353,247,0.039276363,0.93882409,0.360655738,0.206987824,0.713457357,0.140855279,0.193119625,0.275996873,0,1,1,1,1,1,1,1,5,1,Highest
6001407600,6,1,407600,6398,6398,6381,6393,2186,1397,5812,5649,116,273,692,2667,726,241,296,0.018130666,0.882932166,0.195418754,0.119064006,0.417959567,0.113561708,0.135407136,0.110247027,0,1,0,0,0,1,1,0,1,1,Higher
6001407700,6,1,407700,4323,4323,4271,4318,1646,1091,3986,3074,293,201,17,1217,650,223,115,0.067777007,0.711080268,0.184234647,0.004264927,0.284944978,0.150532654,0.069866343,0.135479951,0,1,0,1,0,0,0,0,1,0,NA
6001407800,6,1,407800,2719,2719,1869,2719,759,394,2652,1939,71,64,60,416,278,37,50,0.026112541,0.713129827,0.162436548,0.022624434,0.222578919,0.102243472,0.065876153,0.048748353,0,1,0,0,0,0,0,0,0,0,NA
6001407900,6,1,407900,3077,3077,3072,3072,1113,775,2852,1826,163,123,266,443,252,85,9,0.052973676,0.593435164,0.158709677,0.093267882,0.144205729,0.08203125,0.008086253,0.076370171,0,0,0,0,0,0,0,0,0,0,NA
6001408000,6,1,408000,2739,2739,2296,2739,970,620,2622,1440,108,39,16,194,204,17,47,0.039430449,0.525739321,0.062903226,0.006102212,0.084494774,0.074479737,0.048453608,0.017525773,0,0,0,0,0,0,0,0,0,0,NA
6001408100,6,1,408100,6266,6266,6266,6266,2662,1719,5957,3953,432,51,177,711,554,52,40,0.068943505,0.630864986,0.029668412,0.029712943,0.113469518,0.088413661,0.015026296,0.019534185,0,0,0,0,0,0,0,0,0,0,NA
6001408200,6,1,408200,4162,4162,4140,4162,1703,986,3917,3378,190,296,82,1558,574,340,305,0.045651129,0.811629025,0.30020284,0.020934389,0.376328502,0.137914464,0.179095713,0.199647681,0,1,1,1,0,1,1,1,4,1,High
6001408300,6,1,408300,4939,4939,4918,4939,1762,1087,4701,3765,240,326,255,1469,611,207,202,0.048592833,0.762300061,0.299908004,0.054243778,0.298698658,0.123709253,0.114642452,0.117480136,0,1,1,1,0,0,1,0,3,0,NA
6001408400,6,1,408400,3129,3129,3120,3124,1086,640,2920,2801,148,319,582,2090,544,339,203,0.047299457,0.895174177,0.4984375,0.199315068,0.669871795,0.174135723,0.186924494,0.312154696,0,1,1,1,1,1,1,1,5,1,Highest
6001408500,6,1,408500,5747,5747,5729,5739,1617,1205,5159,5644,134,385,860,3195,741,450,190,0.023316513,0.982077606,0.319502075,0.166698973,0.557688951,0.129116571,0.117501546,0.278293135,0,1,1,1,1,1,1,1,5,1,Highest
6001408600,6,1,408600,6292,6292,6287,6277,1811,1311,5594,6062,237,650,861,4390,682,578,368,0.037666879,0.963445645,0.495804729,0.153914909,0.698266264,0.108650629,0.20320265,0.319160685,0,1,1,0,1,1,1,1,4,1,Highest
6001408700,6,1,408700,7758,7758,7708,7753,2325,1719,7077,7370,329,552,1026,4310,842,656,431,0.042407837,0.94998711,0.321116928,0.144976685,0.559159315,0.108603121,0.185376344,0.282150538,0,1,1,0,1,1,1,1,4,1,Highest
6001408800,6,1,408800,6348,6348,6296,6348,1950,1353,5646,6119,181,672,1261,4330,794,440,661,0.028512917,0.963925646,0.496674058,0.22334396,0.687738247,0.125078765,0.338974359,0.225641026,0,1,1,1,1,1,1,1,5,1,Highest
